id,domain_content,domain_data,domain_software,family,is_generic,maintainer,od_conformance,osd_conformance,status,title,url,legacy_ids
Intel,False,False,True,,,Intel Corporation,not reviewed,approved,retired,Intel Open Source License,https://opensource.org/licenses/Intel,['intel-osl']
LGPL-2.1,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU Lesser General Public License 2.1,https://opensource.org/licenses/LGPL-2.1,
LGPL-3.0,False,False,True,,,Free Software Foundation,not reviewed,approved,active,GNU Lesser General Public License 3.0,https://opensource.org/licenses/LGPL-3.0,
LO-FR-2.0,False,True,False,,False,Etalab,not reviewed,not reviewed,active,Open License 2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence,
LPL-1.0,False,False,True,,,,not reviewed,approved,retired,"Lucent Public License (""Plan9"") 1.0",https://opensource.org/licenses/LPL-1.0,
LPL-1.02,False,False,True,,,,not reviewed,approved,active,Lucent Public License 1.02,https://opensource.org/licenses/LPL-1.02,
LPPL-1.3c,False,False,True,,,,not reviewed,approved,active,LaTeX Project Public License 1.3c,https://opensource.org/licenses/LPPL-1.3c,
MIT,False,False,True,,,,not reviewed,approved,active,MIT License,https://opensource.org/licenses/MIT,['mit-license']
MPL-1.0,False,False,True,,,Mozilla Foundation,not reviewed,approved,retired,Mozilla Public License 1.0,https://opensource.org/licenses/MPL-1.0,
MPL-1.1,False,False,True,,,Mozilla Foundation,not reviewed,approved,retired,Mozilla Public License 1.1,https://opensource.org/licenses/MPL-1.1,['mozilla1.1']
MPL-2.0,False,False,True,,,Mozilla Foundation,not reviewed,approved,active,Mozilla Public License 2.0,https://opensource.org/licenses/MPL-2.0,['mozilla2.0']
MS-PL,False,False,True,,,Microsoft Corporation,not reviewed,approved,active,Microsoft Public License,https://opensource.org/licenses/MS-PL,
MS-RL,False,False,True,,,Microsoft Corporation,not reviewed,approved,active,Microsoft Reciprocal License,https://opensource.org/licenses/MS-RL,
MirOS,True,False,True,,,,approved,approved,active,MirOS Licence,https://opensource.org/licenses/MirOS,
Motosoto,False,False,True,,,,not reviewed,approved,active,Motosoto License,https://opensource.org/licenses/Motosoto,
Multics,False,False,True,,,,not reviewed,approved,active,Multics License,https://opensource.org/licenses/Multics,
NASA-1.3,False,False,True,,,,not reviewed,approved,active,NASA Open Source Agreement 1.3,https://opensource.org/licenses/NASA-1.3,['nasa1.3']
NCSA,False,False,True,,,,not reviewed,approved,active,University of Illinois/NCSA Open Source License,https://opensource.org/licenses/NCSA,['uoi-ncsa']
NGPL,False,False,True,,,,not reviewed,approved,active,Nethack General Public License,https://opensource.org/licenses/NGPL,
NPOSL-3.0,True,False,True,,,Lawrence Rosen,not reviewed,approved,active,Non-Profit Open Software License 3.0,https://opensource.org/licenses/NPOSL-3.0,['nosl3.0']
NTP,False,False,True,,,,not reviewed,approved,active,NTP License,https://opensource.org/licenses/NTP,
Naumen,False,False,True,,,,not reviewed,approved,active,Naumen Public License,https://opensource.org/licenses/Naumen,
Nokia,False,False,True,,,,not reviewed,approved,active,Nokia Open Source License,https://opensource.org/licenses/Nokia,
OCLC-2.0,False,False,True,,,,not reviewed,approved,active,OCLC Research Public License 2.0,https://opensource.org/licenses/OCLC-2.0,['oclc2']
ODC-BY-1.0,False,True,False,,,Open Data Commons,approved,not reviewed,active,Open Data Commons Attribution License 1.0,https://opendefinition.org/licenses/odc-by,
ODbL-1.0,False,True,False,,,,approved,not reviewed,active,Open Data Commons Open Database License 1.0,https://opendefinition.org/licenses/odc-odbl,
OFL-1.1,False,False,True,,,,not reviewed,approved,active,Open Font License 1.1,https://opensource.org/licenses/OFL-1.1,
OGL-Canada-2.0,True,True,False,,False,Government of Canada,approved,not reviewed,active,Open Government License 2.0 (Canada),https://open.canada.ca/en/open-government-licence-canada,['OGL-CA-2.0']
OGL-UK-1.0,True,True,True,,,,not reviewed,not reviewed,superseded,Open Government Licence 1.0 (United Kingdom),https://www.nationalarchives.gov.uk/doc/open-government-licence/version/1/,
OGL-UK-2.0,True,True,True,,False,UK Government,approved,not reviewed,active,Open Government Licence 2.0 (United Kingdom),https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,
OGL-UK-3.0,True,True,True,,False,UK Government,approved,not reviewed,active,Open Government Licence 3.0 (United Kingdom),https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
OGTSL,False,False,True,,,,not reviewed,approved,active,Open Group Test Suite License,https://opensource.org/licenses/OGTSL,
OSL-3.0,True,False,True,,,Lawrence Rosen,not reviewed,approved,active,Open Software License 3.0,https://opensource.org/licenses/OSL-3.0,
PDDL-1.0,False,True,False,,,,approved,not reviewed,active,Open Data Commons Public Domain Dedication and Licence 1.0,https://opendefinition.org/licenses/odc-pddl,['ODC-PDDL-1.0']
PHP-3.0,False,False,True,,,PHP Group,not reviewed,approved,active,PHP License 3.0,https://opensource.org/licenses/PHP-3.0,
PostgreSQL,False,False,True,,,PostgreSQL Global Development Group,not reviewed,approved,active,PostgreSQL License,https://opensource.org/licenses/PostgreSQL,
Python-2.0,False,False,True,,,,not reviewed,approved,active,Python License 2.0,https://opensource.org/licenses/Python-2.0,
QPL-1.0,False,False,True,,,,not reviewed,approved,active,Q Public License 1.0,https://opensource.org/licenses/QPL-1.0,
